times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
42.4|1.0|0.0|0.0|-126696.9198813448|-126693.69109328996
42.6|1.0|0.0|0.0|-126552.30934168425|-126548.21029434902
42.8|1.0|0.0|0.0|-126685.50629749153|-126683.86667855742
43.0|1.0|0.0|0.0|-126727.10237792507|-126724.35286309711
43.2|1.0|0.0|0.0|-126728.28364890523|-126723.21344266286
43.4|1.0|0.0|0.0|-126615.06844269716|-126611.56218066884
43.6|1.0|0.0|0.0|-126534.37116594583|-126532.22704887815
43.8|1.0|0.0|0.0|-126427.88461697729|-126426.47202220329
44.0|1.0|0.0|0.0|-126881.32131937827|-126879.59341327079
44.2|1.0|0.0|0.0|-126540.96013202764|-126540.63220824083
44.4|1.0|0.0|0.0|-126416.07161906276|-126415.52928356917
44.6|1.0|0.0|0.0|-126754.04706785468|-126752.60924817402
44.8|1.0|0.0|0.0|-126657.6879243431|-126655.1149838619
45.0|1.0|0.0|0.0|-126412.00953981056|-126409.96632236961
45.2|1.0|0.0|0.0|-126521.18445077004|-126518.92682162233
45.4|1.0|0.0|0.0|-126683.39321316566|-126681.62746969817
45.6|1.0|0.0|0.0|-126823.04720993093|-126821.50849062353
45.8|1.0|0.0|0.0|-126679.0382177038|-126676.91932554281
46.0|1.0|0.0|0.0|-126849.82344837007|-126848.77661474292
46.2|1.0|0.0|0.0|-126850.60675713672|-126848.7401140425
46.4|1.0|0.0|0.0|-127214.36026433819|-127212.89721975083
46.6|1.0|0.0|0.0|-126860.73534020735|-126858.3389740729
46.8|1.0|0.0|0.0|-126719.39739169164|-126715.71455531659
47.0|1.0|0.0|0.0|-126897.31171716185|-126896.4288454281
47.2|1.0|0.0|0.0|-127051.69226032484|-127050.41840253759
47.4|1.0|0.0|0.0|-127093.36380615759|-127091.90076157026
47.6|1.0|0.0|0.0|-127197.5211212619|-127195.96978950118
47.8|1.0|0.0|0.0|-127100.35706979837|-127098.37691462411
48.0|1.0|0.0|0.0|-126995.04092307921|-126993.5274286785
48.2|1.0|0.0|0.0|-126870.04528198489|-126868.77142419764
48.4|1.0|0.0|0.0|-126959.15446042191|-126958.73824946172
48.6|1.0|0.0|0.0|-127025.1181776144|-127024.44971758741
48.8|1.0|0.0|0.0|-126966.94234111716|-126965.78199540995
49.0|1.0|0.0|0.0|-127443.7577452151|-127442.84964857467
49.2|1.0|0.0|0.0|-127191.91963129575|-127191.25117126876
49.4|1.0|0.0|0.0|-127078.44483273254|-127077.34754929203
49.6|1.0|0.0|0.0|-127202.56254783185|-127201.83102553818
49.8|1.0|0.0|0.0|-127043.27753834146|-127040.02352537993
50.0|1.0|0.0|0.0|-127138.17021469363|-127136.12699725268
50.2|1.0|0.0|0.0|-127050.95509985297|-127049.10106921212
50.4|1.0|0.0|0.0|-127198.5521986768|-127196.30718198243
50.6|1.0|0.0|0.0|-126954.92881380081|-126954.60089001397
50.8|1.0|0.0|0.0|-127195.17853601147|-127194.52268843784
51.0|1.0|0.0|0.0|-126888.63476178095|-126887.97891420731
51.2|1.0|0.0|0.0|-127115.53279735337|-127114.9021746864
51.4|1.0|0.0|0.0|-127158.11556823309|-127156.36243721894
